code;value;description;group;subGroup;
BusinessLicense;Business License;;DocumentType;OrganizationDocuments;
TinCertificate;Tin Certificate;;DocumentType;OrganizationDocuments;
Payroll;Payroll;;DocumentType;OrganizationDocuments;
ProofOfAddress;Proof of Address;;DocumentType;OrganizationDocuments;
CV;CV;;DocumentType;Basic;
ProfilePicture;Profile picture;;DocumentType;Basic;
Agriculture;Agriculture;;IndustryType;;
Arts;Arts, Entertainment and Recreation;;IndustryType;;
Construction;Construction;;IndustryType;;
Education;Educational Services;;IndustryType;;
Finance;Finance and Insurance;;IndustryType;;
Health;Health Care and Social Assistance;;IndustryType;;
Information;Information;;IndustryType;;
RealEstate;Real Estate, Rental and Leasing;;IndustryType;;
Transportation;Transportation;;IndustryType;;
Other;Other;;IndustryType;;
